job_title,location,company,salary,rating,summary
Social Science Research Analyst,"San Francisco, CA",US Department of Health And Human Services,"$79,468 - $103,309 a year",4.1,Certain current or former term or temporary federal employees of a land or base management agency. Degree: behavioral or social science; or related disciplines…
Business Intelligence Analyst,"Redwood City, CA",Liftoff,,,Experience with Python (or similar scripting language). Develop data pipelines and reporting to inform decision-making across the company.
Business Intelligence Analyst,"San Francisco, CA",Eave Inc,,,2 years of experience in a business intelligence business analyst role in an online ecommerce or online business environment.
Business Analyst,"San Francisco, CA 94107 (South Beach area)",Ubisoft,,3.9,"Interpret user research, analytics, benchmarks, and other data to guide recommendations; Good knowledge of business process design; Fluent in French a plus."
Selligent Marketing Cloud Data Engineer,"San Francisco, CA 94147 (Marina area)",Braintrust,$100 - $125 an hour,4.3,"Experience working with technology teams (client side or third party vendors) to generate and import data files into Selligent Marketing Cloud, as well as…"
Research Data Analyst (6256U) 14631,"Berkeley, CA 94720",University of California Berkeley,,4.2,Background in social science or public health research. Gathers and analyzes research data; prepares and summarizes information and / or recommendations.
Data Steward Analyst,"Redwood City, CA",TCS,,3.8,Define the data and identify assets within their own data domains. Maintain data and manage it according to data properties as required by administration.
Business Data Analyst,"San Francisco, CA",iknowvate technologies,,,"Required Qualifications: 5+ years of data management, data governance, data quality, data analysis or related experience."
Data Engineer,"Foster City, CA 94404",Ryzen Solutions,$43 - $58 an hour,,"Personal protective equipment provided or required. Sanitizing, disinfecting, or cleaning procedures in place. Job Types: Full-time, Contract."
Data Engineer,"San Francisco, CA",Rapid Value Solutions,$70 - $85 an hour,,"Experience in data acquisition, data set process, improving data reliability, quality and efficiency. May seek assistance from the supervisor or more skilled…"
"Data Scientist, Growth","San Francisco, CA 94103 (South of Market area)",Pinterest,,4.2,Work with product managers and engineers to design data products and debug A/B experiments. We’re looking for a data scientist to help us connect Pinners to…
Associate Data Scientist,"San Francisco, CA",Citi,,3.9,Become a source of knowledge and make recommendations to the greater team and company as a data expert relating to above research.
Business Data Analyst II,"San Francisco, CA 94105 (South Beach area)",Silicon Valley Bank,,3.8,Assist with ad hoc business analytics requests to support the BD team. Create go-to-market and expansion plans for specific segments of business.
Data Analyst,"San Francisco Bay Area, CA",Mighty Networks,,5.0,Build scripts that will make our data evaluation process more flexible or scalable across data sets. Proactively analyze data to answer key questions from…
Data Analyst - Diversity & Inclusion,"Foster City, CA 94404",Leadstack Inc,$65 - $70 an hour,,Minimum of 5 years in HR and/or with project management or HR data related experience. Translate data and trends into stories to drive business decisions.
Associate Data & Policy Analyst,"San Francisco, CA 94105 (South Beach area)",Federal Reserve Bank of San Francisco,,4.1,Participate in and/or initiate original research to further business line knowledge. Employ critical thinking skills to formulate research questions and execute…
Data Analyst,"San Francisco, CA 94108 (Financial District area)",NextEra Energy,,3.9,"Exploratory data analysis and data visualization expert. Collect, process, and analyze client data using Python or R. Bachelor's or Equivalent Experience."
Data Analyst - US,"Redwood City, CA",MOLOCO,,,"Business analysis: Extract and manipulate data, creating actionable recommendations for business decisions. 2+ years of experience in data analytics."
"Entry Level Business Analyst: San Francisco, CA","San Francisco, CA",Agama Solutions,$30 an hour,3.8,Troubleshoot data issues by validating different data sources. Analyze business performance trends to identify growth opportunities.
Data Analyst - Revenue Intelligence,"San Francisco, CA 94103 (South of Market area)",Twitter,,4.1,Define data systems and tools with product and engineering to produce revenue dashboards and other business intelligence reports. R or Python is a strong plus.
Entry Level Data Scientist,"San Mateo, CA",Spectra Infosystems,,,Develop custom data models and algorithms to apply to data sets. Assess the effectiveness and accuracy of new data sources and data gathering techniques.
"Data Engineer, People Insights & Analytics","San Francisco, CA 94103 (South of Market area)",Pinterest,,4.2,"Extract data from multiple sources, integrate disparate data into a common data model, and integrate data into a target database, application, or file using…"
123 QUALITY ANALYTICS - Senior Business Intelligence Analyst,"Alameda, CA 94502 (Bay Farm Island area)",Alameda Alliance,"$102,770 - $154,150 a year",2.5,"Five years of experience in business intelligence, data systems, reporting and analysis. Constant data entry using keyboard and/or mouse."
Business Systems Analyst,"San Francisco, CA",Philz Coffee,,4.2,"Other critical systems analysis (POS, order management, data warehousing, HRIS) to enable business processes. Outstanding documentation and communication skills…"
Survey research analyst,"San Francisco, CA 94107 (South of Market area)",YouGov,,4.0,Cleaning survey data and evaluating data quality metrics. Prior experience or training in survey research is a plus. Monitoring surveys in the field.
"Business Analyst, Energy","Hayward, CA",Tesla,,3.5,Use data to assess business impact and priorities. Bachelor’s degree in science or engineering or equivalent experience or evidence of exceptional ability.
Data Engineer,"San Francisco, CA",Frontapp,,,"Interface with data scientists, analysts, product managers and all data stakeholders to understand their needs and promote best data practices."
Data Engineer,"San Mateo, CA",Harmonize,,,2+ years of experience in using or managing Data Warehouse (preferably Redshift or Snowflake or BigQuery). Experience working with healthcare data sets.
"Data Scientist, Payments","San Francisco, CA",Square,,3.6,"Independently research questions related to our core payments data and produce actionable insights for stakeholders. Python (numpy, pandas, sklearn) & R."
Business Intelligence (BI) Analyst - eero/Amazon,"San Francisco, CA 94105 (South Beach area)",eero,,4.5,"3+ years of work experience in a similar business intelligence, data analytics role. Become the go-to person if our partners have any questions or issues with…"
"Data Scientist, Payments","San Francisco, CA",Square,,3.6,"Independently research questions related to our core payments data and produce actionable insights for stakeholders. Python (numpy, pandas, sklearn) & R."
Data Engineer,,TEKsystems,$75 an hour,3.9,"Designed, developed, and implemented data infrastructure, data pipelines and data processing code for product features. Hive/spark/snowflake/sql development."
Business Intelligence (BI) Analyst - eero/Amazon,"San Francisco, CA 94105 (South Beach area)",eero,,4.5,"3+ years of work experience in a similar business intelligence, data analytics role. Become the go-to person if our partners have any questions or issues with…"
Business Analyst (Remote),"San Francisco, CA","Primary Diagnostics, Inc",,,Conduct and document complex business analysis projects. Experience translating complex business problems into analytical models.
Business Operations Analyst,"San Francisco, CA 94105 (South Beach area)",Accenture,,4.0,"Bachelor’s degree in engineering, supply chain management or any closely related technical or analytical field. Oral and written fluency in English."
Data Engineer,"San Francisco, CA 94103 (South Of Market area)",ProFocus,"$140,000 a year",,"Have proven experience deploying data infrastructure. Bachelor’s degree in Computer Science, Data Science, or Information Systems or demonstrate equivalent…"
Business Analyst (SE),"San Francisco, CA 94131 (Noe Valley area)",Facebook,,4.2,"3+ years of work experience involving analytical rigor as typically seen in, but not restricted to, functions like finance, business operations, etc. or…"
Business Systems Analyst (BSA),"San Francisco, CA 94105 (South Beach area)",Salesforce,,4.3,Bachelor’s degree or industry equivalent. Salesforce.com and Salesforce.org will not pay any third-party agency or company that does not have a signed agreement…
Business Intelligence Senior Analyst,"San Francisco, CA 94105 (Yerba Buena area)",Mercer Global Advisors Inc,,,"Minimum of 5 years of data analytics, statistics and/or reporting experience. The Senior Analyst will be responsible for researching, collecting, analyzing and…"
Research Analyst,"San Francisco, CA 94104 (Financial District area)",Cleantech Group,,,"BA/BSc or equivalent working experience. Ability to research effectively, and work toward deadlines. Conduct on-going secondary research, including identifying…"
Sr. Data Analyst,"Redwood City, CA",Empower Retirement,"$115,700 - $191,000 a year",3.1,"Comfortable with large data sets and interest in building data models for consumer behavior and business metrics. Medical, dental, vision and life insurance."
Business Intelligence Developer,"San Francisco, CA 94107 (Yerba Buena area)",Unity Technologies,,4.0,"Support data initiatives for new products in the Operate Team. A passion for data, analysis, and problem solving. Skilled with SQL/BigQuery and Excel."
Corporate Affairs Research Analyst,"San Francisco, CA",Carta,,3.8,You can parse the insights from dense information and have the ability to translate raw data into actionable strategies for the corporate affairs team.
Jr. Data Analyst,"Oakland, CA 94612 (San Pablo Gateway area)",Pyramid,$20 - $25 an hour,3.9,Translate business needs to technical specifications. Maintain and support data analytics platforms. Develop and execute database queries and conduct analyses.
Senior Business/Data Analyst.,"Redwood City, CA 94065 (Westport area)",Shutterfly,,3.7,"SQL/database query skills required. Experience with a business intelligence reporting tool (Tableau, Cognos, Business Objects, etc.) a plus, but not required."
"Business Analyst, Energy","Hayward, CA",Tesla,,3.5,Use data to assess business impact and priorities. Bachelor’s degree in science or engineering or equivalent experience or evidence of exceptional ability.
Data Engineer,"San Francisco, CA",Frontapp,,,"Interface with data scientists, analysts, product managers and all data stakeholders to understand their needs and promote best data practices."
Data Engineer,"San Mateo, CA",Harmonize,,,2+ years of experience in using or managing Data Warehouse (preferably Redshift or Snowflake or BigQuery). Experience working with healthcare data sets.
"Data Scientist, Payments","San Francisco, CA",Square,,3.6,"Independently research questions related to our core payments data and produce actionable insights for stakeholders. Python (numpy, pandas, sklearn) & R."
Business Intelligence (BI) Analyst - eero/Amazon,"San Francisco, CA 94105 (South Beach area)",eero,,4.5,"3+ years of work experience in a similar business intelligence, data analytics role. Become the go-to person if our partners have any questions or issues with…"
Business Analyst (Remote),"San Francisco, CA","Primary Diagnostics, Inc",,,Conduct and document complex business analysis projects. Experience translating complex business problems into analytical models.
Business Operations Analyst,"San Francisco, CA 94105 (South Beach area)",Accenture,,4.0,"Bachelor’s degree in engineering, supply chain management or any closely related technical or analytical field. Oral and written fluency in English."
Data Engineer,"San Francisco, CA 94103 (South Of Market area)",ProFocus,"$140,000 a year",,"Have proven experience deploying data infrastructure. Bachelor’s degree in Computer Science, Data Science, or Information Systems or demonstrate equivalent…"
Business Analyst (SE),"San Francisco, CA 94131 (Noe Valley area)",Facebook,,4.2,"3+ years of work experience involving analytical rigor as typically seen in, but not restricted to, functions like finance, business operations, etc. or…"
Business Systems Analyst (BSA),"San Francisco, CA 94105 (South Beach area)",Salesforce,,4.3,Bachelor’s degree or industry equivalent. Salesforce.com and Salesforce.org will not pay any third-party agency or company that does not have a signed agreement…
Payment Services - Business Analyst,,eBay Inc.,,3.9,"Craft business cases to inform business requirements. Education related to marketing and data analysis, business case creation, and optimization opportunity…"
Lead Data Analyst,,Chinese Community Health Plan (CCHP),,,"At least 2 years of experience as a senior or lead programmer or analyst, guiding other staff on how to best implement solutions."
Clinical Data Programmer/Analyst,,Quantum Leap Healthcare,,,"Support data migration activities including data cleaning and adjudication processes. Implement data standards within a function, or therapeutic area in…"
Behavior Therapist,,"Roman Empire Living Skills, Inc",$20 an hour,,Provide data collection according to Functional Behavior Assessment. Pass Criminal Background Check (No Misdemeanors or Felonies).
Energy Analyst/Energy Engineer,,"Association For Energy Affordability, Inc.",,,"The Energy Analyst engages in data collection, building diagnostics, research, data analysis, job costing and construction feasibility, energy modeling, and…"
Behavior therapist / Registered Behavior Technician *ASL Speaking Preferred,,Positive Behavior Supports Corporation (PBS),$17 - $24 an hour,3.8,High school or equivalent (Required). Communicate openly with behavior analysts and regional coordinator. Proof of annual or required updated training shall be…
Software Architect,,SafeinHome,"$120,000 - $160,000 a year",4.3,"Deep knowledge of database data model and schema design. Bachelor’s Degree or higher in a Computer Science, Electrical Engineering, or an equivalent STEM area."
