job_title,location,company,salary,rating,summary
"data scientist, AI/ML Solutions - Remote or Seattle, WA","Seattle, WA 98134 (Industrial District area)",Starbucks,,4.0,"Under the guidance of more senior data scientists, create clear and concise packaging and presentation of data products and insights to business stakeholders,…"
Business Intelligence Engineer,"Redmond, WA",Beyondsoft Consulting,,3.5,A technical service engineer to develop reporting and automation solutions to meet digital transformation objectives. 0-2 Years of experience.
Data Scientist and Business Analyst,"Bellevue, WA",Microsoft,,4.2,Collaborate and help Improve data systems and algorithms that drive business performance by providing feedback to respective business owners & data scientist…
Research Analyst,"Seattle, WA",Emerald Research Group,,,"1-3 years of market research, marketing, or consulting experience. Experience with statistical software (e.g. SPSS, Q) and research tools (e.g. Decipher, SPSS…"
DATA ANALYST,"Seattle, WA 98195 (University District area)",University of Washington,,4.1,"The main purpose of the Data Analyst position is to provide support to research projects through database management, data quality management, computational…"
Data Scientist,"Redmond, WA 98052 (Overlake area)",Microsoft,,4.2,"BS/MS in Computer Science, Statistics, Applied Mathematics, Physics, or other engineering or science fields. Drive innovations in NLP applications, data insight…"
Sr Engineer (data engineering),"Seattle, WA",Nordstrom,,3.9,"Bachelor’s or Master’s degree in CS, Engineering. These technology products and solutions provide amazing customer experiences while meeting the needs of the…"
Business Analyst I,"Seattle, WA",LivePerson,,3.7,"As a Business Analyst I, you will collaborate with multiple global functions to research technical, software development and business challenges and analyze…"
"Data Scientist, Analytics, Intern","Seattle, WA",Facebook,,4.2,Candidates will help own analytics for a particular product or business at Facebook and work with product managers and engineers to translate the analysis into…
Business Intelligence Analyst,"Seattle, WA",SCRUMPOINT,,,"We are looking for at least 5 years of demonstrated experience in business intelligence analyst or data analyst positions, with particular emphasis on the…"
DATA EXTRACTION ANALYST,"Seattle, WA 98195 (University District area)",University of Washington,,4.1,Experience analyzing and/or manipulating data. Interest in global health or population health research. Improve extraction processes in order to save time or…
Human Services Analyst - Research,"Seattle, WA",Mathematica Policy Research,"$60,000 - $100,000 a year",3.8,"Specifically, we are seeking analysts in the research specializations. Ability to identify and collect data, and perform quantitative and qualitative data…"
Business Intelligence Analyst,"Lynnwood, WA 98036",PEMCO,,3.9,"B.A. or B.S. degree or equivalent work experience (Computer science, mathematics or related field). Experience with data analysis / profiling / organizing data,…"
Data Analyst - DTC,"Everett, WA 98201 (Bayside area)",Funko,,3.4,"Identify, analyze, and interpret trends or patterns in complex data sets. Provide quality assurance of imported data, working with quality assurance analyst if…"
Data Engineer,"Everett, WA 98203 (Glacier View area)",Coastal Community Bank,,4.1,Drive new initiatives on how Coastal uses data to drive our business. The key pieces of the data analysis system are data ingest (from multiple external sources…
Data Scientist,"Redmond, WA 98052 (Overlake area)",Microsoft,,4.2,"BS/MS in Computer Science, Statistics, Applied Mathematics, Physics, or other engineering or science fields. Drive innovations in NLP applications, data insight…"
Sr Engineer (data engineering),"Seattle, WA",Nordstrom,,3.9,"Bachelor’s or Master’s degree in CS, Engineering. These technology products and solutions provide amazing customer experiences while meeting the needs of the…"
Business Analyst I,"Seattle, WA",LivePerson,,3.7,"As a Business Analyst I, you will collaborate with multiple global functions to research technical, software development and business challenges and analyze…"
"Data Scientist, Analytics, Intern","Seattle, WA",Facebook,,4.2,Candidates will help own analytics for a particular product or business at Facebook and work with product managers and engineers to translate the analysis into…
Business Intelligence Analyst,"Seattle, WA",SCRUMPOINT,,,"We are looking for at least 5 years of demonstrated experience in business intelligence analyst or data analyst positions, with particular emphasis on the…"
DATA EXTRACTION ANALYST,"Seattle, WA 98195 (University District area)",University of Washington,,4.1,Experience analyzing and/or manipulating data. Interest in global health or population health research. Improve extraction processes in order to save time or…
