job_title,location,company,salary,rating,summary,city
Data Analyst/Assistant Research Scientist (part time),"New York, NY 10012 (Greenwich Village area)",New York University,18.0,4.2,Cultivate deep familiarity with methodological approaches and data. Ability to manage complex research and analysis. Proficiency in SAS and/or R is required.,New York
Junior Research Data Analyst - Japanese & English speaking,"New York, NY",H1,15.0,,Fast-growing Life Science data company is looking for research data analysts with Japanese language ability.,New York
COVID-19 Data Analyst - Temp,"Long Island City, NY 11101",Fund For Public Health In New York Inc,35.0,,"Assist with management of imports and extracts of data from the COVID surveillance database (Maven) to exchange data with other critical databases (e.g., Test…",New York
Research Analyst - Russian & English speaking,"New York, NY",H1,25.0,,"Knowledge of research methods, data analysis, quality metrics. Ideal candidates speak Russian fluently and have some life science, pharmaceutical, or financial…",New York
"Intern (Associate Market Analyst, Business Development)","Albany, NY 12206 (Campus Area (University District) area)",Pearson,20.0,3.7,Perform market research and analysis. Evaluate costs and benefits of multiple actions and/or solutions and provide data-driven recommendations.,New York
All Internship Opportunities (NYC),"New York, NY",iBUILT,20.0,,"You will work collaboratively with our outstanding team of dedicated creative teammates, including architects, business professionals, fabricators, contractors,…",New York
Senior Spatial Data and Mapping Analyst-Temporary,"Long Island City, NY 11101",Fund For Public Health In New York Inc,37.5,,"Facilitate the flow of data and the data request process. Assemble analysts from across the agency with a wide variety of data skills, including data…",New York
Accounts Payable Clerk,"Lowville, NY",Kraft Heinz Company,24.0,3.6,Finance/Accounting experience and/or a two year Associates Degree is preferred. Develop and maintain positive relationship with internal and external customers/…,New York
Research Analyst - Japanese & English speaking,"New York, NY",H1,25.0,,"Knowledge of research methods, data analysis, quality metrics. Ideal candidates speak Japanese fluently and have some life science, pharmaceutical, or financial…",New York
SSAS Cube Developer Contractor,"New York, NY",Deloitte,77.5,4.0,"Many-to-many data relationships. Interact with other stakeholders not limited to end-user clients, project manager/scrum master, business analysts, offshore…",New York
US Summer Internship Program - 2021,"New York, NY 10013 (Chinatown area)",Edelman,17.0,3.7,"Assisting with research projects and new business audits. Familiar with the public relations, digital marketing, or communications discipline through past…",New York
Operations Research Engineer,"Dallas, TX",SM&A,111.0,3.8,"In addition to requiring an understanding of engineering and technical disciplines, these projects involve experience with requirements analysis, concept…",Dallas
2021 Research & Development Fall Co-Op,"Irving, TX",Johnson & Johnson Family of Companies,21.0,4.2,Assignment area and work-site location will be matched to business needs. Proven leadership/participation with campus programs and/or community service…,Dallas
Servicing Quality Analyst (Remote),"Dallas, TX",Agility 360,27.5,3.3,This position reduces the risk to the organization by performing a data to doc comparison of various data points on the servicing system.,Dallas
