job_title,location,company,salary,rating,summary,city
Intelligence Operations Specialist,"New York, NY",US Department of Homeland Security,144688.0,3.8,"Presents formal briefings or written reports on topics or matters relating to terrorism, other threats to homeland security, or other national intelligence or…",New York
Investigative Analyst,"New York, NY",New York District Attorney's Office,48909.0,4.4,"One year experience preferred, either as a paralegal in the criminal justice system or related field; or experience conducting online research or other work in…",New York
Business Analyst,"Brooklyn, NY",Cyber Tech Group,65000.0,,"Providing legal and scholarly research; Keen eye for spotting data trends; Candidates can look forward to regular client contact, a role in business development…",New York
Research Scientist 1 (Biostatistics or Health Services Research) – 63312 OR Research Scientist 2 (Biostatistics or Health Services Research),"Albany, NY 12237","Health, Department of",72364.0,,The Research Scientist will work under the direction of a senior level research scientist and will perform research activities including: problem definition and…,New York
Business Analyst,"Manhattan, NY",NYC HOUSING AUTHORITY,70437.5,3.8,"Fields of finance; economic, fiscal or statistical research; policy analysis; or quantitative, business, market or financial analysis.",New York
Data Analyst,"Queens, NY",DEPT OF HEALTH/MENTAL HYGIENE,81167.0,4.1,Experience working with survey data and administrative data. A doctorate degree from an accredited college or university with specialization in an appropriate…,New York
Data Analyst,"Manhattan, NY",DEPARTMENT OF INVESTIGATION,57500.0,4.2,"Be familiar with Big Data platforms and Cloud tools data mining, data cleaning, data warehousing and structures and one or more RDBMS systems.",New York
HCV Senior Data and Research Analyst,"Queens, NY 11101",DEPT OF HEALTH/MENTAL HYGIENE,94688.5,4.1,The Viral Hepatitis Program has an opening for a senior data and research analyst to work in the title of HCV Senior Data and Research Analyst.,New York
Data Analyst,"New York, NY",ADMIN TRIALS AND HEARINGS,62885.5,,Secretary of Education and the Council for Higher Education Accreditation (CHEA) and two years of satisfactory full-time professional experience working in one…,New York
Research Scientist 3 (Epidemiology) - 10129,"Albany, NY","Health, Department of",92053.5,,"Lead or co-author of scientific publications. Research Scientist 3 (RS3): Bachelor’s degree in Biology, Public Health, Epidemiology, Infection Control,…",New York
IT Business Analyst,"New York, NY 10003 (Flatiron District area)",Options Group,123552.0,3.2,"Change dimensions and data archiving utilizing specific transformations. Master's degree in Computer Science, Information Systems, or a related field and 3…",New York
Cyber Associate Data Engineer,"Manhattan, NY 10005 (Financial District area)",DEPT OF INFO TECH & TELECOMM,64640.5,3.8,"Administering databases and/or data management systems that allow for the secure storage, query, protection, and utilization of data.",New York
Contract Administrator,"Garden City, NY",US Department of Defense,79430.0,4.2,GS-09: I possess 2 full academic years of progressively higher level graduate education or master's or equivalent graduate degree or LL.B. or J.D.,New York
Senior Research Analyst - Promote Healthy Childhoods,"Queens, NY 11101",DEPT OF HEALTH/MENTAL HYGIENE,84640.0,4.1,"A doctorate degree from an accredited college or university with specialization in an appropriate field of physical, biological, environmental or social science…",New York
Quantitative Analyst,"New York, NY",The Future Today Institute,125000.0,,"Experience in applying data science methods to commercial problems. Conduct qualitative and quantitative research to support emerging tech trends, scenarios,…",New York
SENIOR RESEARCH ASSOCIATE,"New York, NY 10310 (West Brighton area)",Mayor's Office of Contract Services,97735.5,,Data as well as new research in income poverty metrics. Familiarity in analyzing administrative data or large datasets such as the American Community.,New York
Data Scientist - Nationwide Opportunities,"New York, NY","Amazon Web Services, Inc.",114700.0,3.6,Experience in an ML engineer or data scientist role building and deploying ML models or hands on experience developing deep learning models.,New York
SENIOR RESEARCH ASSOCIATE,"Manhattan, NY",HRA/DEPT OF SOCIAL SERVICES,97735.5,3.9,Data as well as new research in income poverty metrics. Familiarity in analyzing administrative data or large datasets such as the American Community.,New York
Analyst | Housing,"Manhattan, NY 10007 (Financial District area)",OFFICE OF MANAGEMENT & BUDGET,66385.5,4.1,"Strong problem solving and data management skills. Exceptional organizational, research, and analytical skills.",New York
Knowledge Management Content and Data Analyst,"New York, NY",Cooley LLP,76000.0,4.0,"Preferred candidates will have BS or MS degree in fields such as business, math, data architecture, library science, and extensive knowledge of Data Governance,…",New York
Specialized Contract Analyst,"Manhattan, NY 10007 (Financial District area)",OFFICE OF THE COMPTROLLER,57500.0,4.4,A four year high school diploma or its educational equivalent approved by a State’s Department of Education or a recognized accrediting organization and four…,New York
Senior Data Engineer,"New York, NY",NDWA Labs,95000.0,,"Experience working in unions, workers’ rights, and/or social justice. Experience with lean and agile methodologies and/or with small, early-stage teams.",New York
Business Analyst - SUNY Orange,"Middletown, NY 10940",SUNY Orange,52567.5,4.5,"The IT Business Analyst will play a critical role in participating in or leading requirements definition, data analysis, data modeling, and data integration…",New York
Analyst | DOE Revenue,"Manhattan, NY 10007 (Financial District area)",OFFICE OF MANAGEMENT & BUDGET,54668.0,4.1,"Analyst ($62,480): Bachelor's degree and a minimum of two years responsible administrative and/or budget experience; or an awarded Master's degree in Financial…",New York
Specialized Contract Analyst,"Manhattan, NY 10007 (Financial District area)",Mayor's Office of Contract Services,57500.0,,A four year high school diploma or its educational equivalent approved by a State’s Department of Education or a recognized accrediting organization and four…,New York
Research Assistant,"New York, NY",Columbia University,51958.0,4.1,Assist on the database maintenance and data cleaning. Generate analysis files needed by genetic analysts. Bachelor's degree and at least one and one-half years…,New York
Executive Assistant,New York State,The Humane League,43225.0,4.7,Coordinate domestic and/or international travel for the President and EVP and research and prepare appropriate itineraries.,New York
IT Business Analyst/ UX Researcher,"Brooklyn, NY",DEPT OF INFO TECH & TELECOMM,105000.0,3.8,"Understand business needs and elicit, document, and validate business requirements; Provide peer review and peer support to other business analysts and UX…",New York
Engineer I,"Baldwinsville, NY 13027",Anheuser-Busch,99250.0,3.8,BS in Engineering or related technical degree. Lead the implementation of process improvement and/or innovations-based projects. Short and Long-Term Disability.,New York
Solutions Consultant,"New York, NY",Gtmhub,97500.0,,"Collect and document competitive intelligence. 2-5 years of SaaS presales or related experience (customer success, implementation or other customer-facing roles…",New York
Cybercrime Analyst,"New York, NY",New York District Attorney's Office,47909.0,4.4,Strong attention to detail and high concern for data accuracy. One (1) year of paralegal or related experience preferred.,New York
Analyst | PARKS,"Manhattan, NY 10007 (Financial District area)",OFFICE OF MANAGEMENT & BUDGET,58573.5,4.1,"Analyst ($62,480+): Bachelor's degree in Business, Finance, Economics, Public Policy Analysis/Administration, or a subject related to the specific assignment…",New York
Operations Analyst,"New York, NY 10004 (Financial District area)",TAXI & LIMOUSINE COMMISSION,58157.5,3.1,High school graduation or equivalent and six years of experience in community work or community centered activities in an area related to the duties as…,New York
Treasury Analyst,"New York, NY",Scholastic,32000.0,3.7,Quarterly analyst call and quarterly 8K earnings filing preparation. Assist Corporate Treasurer in the Company’s business development activities.,New York
Antiterrorism Specialist (Garrison),"Fort Drum, NY",US Department of the Army,89113.5,4.3,Certain current or former term or temporary federal employees of a land or base management agency. This position has a Temporary Duty (TDY) or business travel…,New York
"Analyst II, Business Systems (226 Days)","Dallas, TX",Dallas Independent School District,87435.0,3.6,Code database descriptions and specify identifiers of database to management system. Responsible for coordinating and implementing security measures for the…,Dallas
Analyst,"Dallas, TX",Greystar,40000.0,3.6,"Will be responsible for maintaining national data sets and existing reporting within Excel, Power BI, and internal business intelligence platform.",Dallas
EBX Developer,"Dallas, TX 75201",Molex,115000.0,3.6,Apply data governance for master data through data coordination and integration to ensure efficient processes and consistent data flows to business and…,Dallas
Senior Business Operations Analyst,"Dallas, TX",Salesforce,80400.0,4.3,"Bachelors’ degree in business, computer science or related field. Systems Analyst or Consulting experience preferred. 4+ years of Business Analyst experience.",Dallas
Administrative Specialist,"Dallas, TX",US Department of Labor,66233.5,4.0,Certain current or former term or temporary federal employees of a land or base management agency. Occasional travel - 10% or less to attend meeting or training…,Dallas
Business Systems Analyst,"Dallas, TX 75201",Koch Business Solutions,77500.0,3.6,"Critically think through requirements and data to solve business needs, applying good economic thinking to solutions. High School Diploma or GED.",Dallas
"Data Analyst, MTSS (226 Days)","Dallas, TX",Dallas Independent School District,76031.0,3.6,Strong ability to analyze data and identify trends within data sets. Design and develop data views that will inform strategic direction in addition to…,Dallas
Academic Data Analyst : Central Management Office,"Dallas, TX 75247 (Northwest Dallas area)",Uplift Education,50000.0,3.6,"2 or more years’ experience with data analysis or business intelligence. Bachelor’s Degree - applicable major preferred (Mathematics, Statistics, Engineering,…",Dallas
Experienced Data Engineer,"Plano, TX 75023",Liberty Mutual Insurance,97700.0,3.6,"Bachelor's or Master's degree in technical or business discipline or equivalent experience, technical degree preferred. Mentor new and junior developers.",Dallas
"Analyst I, Statistical (226 Days) REVISED","Dallas, TX",Dallas Independent School District,76031.0,3.6,Knowledge and/or experience with statistics and data reporting. Provide data support for the schools and central staff from the data platforms.,Dallas
